Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
MTX,0.091095041,0.009070274,0.914890353,0.008786785,0.944407636,0.849624724,0,FUM
NETA,0.900553848,0.033520305,24.19420783,0.032035796,25.31534544,0.595589253,0,FUM
PBO,1.14339983,0.496910141,2.630985089,0.491242753,2.661338335,2.351946743,0,FUM
RISAN,0.834827945,0.325533755,2.14090762,0.3213411,2.168840827,2.081210777,0,FUM
SECU,1.215504034,0.497003161,2.972717624,0.490922573,3.009537834,2.191614841,0,FUM
SONELO,1.411300859,0.23225754,8.575696245,0.226559962,8.791359685,1.086221425,0,FUM
TILDRA,0.908463273,0.28991314,2.846733745,0.285390882,2.89184263,1.716027106,0,FUM
USK,1.105269025,0.449700343,2.716519201,0.444168248,2.75035332,2.179563594,0,FUM
ADA,1.279139524,0.051720865,31.6351619,0.049486662,33.06341279,0.610957025,0,NETA
APRE,1.082814031,0.042771937,27.41251181,0.04091115,28.65933189,0.60654143,0,NETA
BIME,0.662979083,0.025277425,17.38868812,0.024165958,18.18844783,0.599969685,0,NETA
BRODA,1.310101494,0.052087911,32.95132994,0.049826298,34.44698896,0.607765693,0,NETA
CERTO,0.887458938,0.033187995,23.73097153,0.031720248,24.82904213,0.596438283,0,NETA
